family,n_qubits,depth,seed,angle_regime,method,chi_max,tdvp_sweeps,svd_threshold,lanczos_tol,reference_type,reference_available,reference_chi,reference_sweeps,wall_time_s,peak_bond_dim,mean_bond_dim,final_max_bond_dim,num_truncations,hit_chi_max,norm_error_or_norm_drift,fidelity_to_reference,infidelity_to_reference,fidelity_direct,fidelity_bit_reversed,observable_error_direct,observable_error_bit_reversed,reference_convention_used,mean_abs_observable_error,max_abs_observable_error,rms_observable_error,energy_error,status,error_message,case_id,num_swaps_inserted,tdvp_lr_count,enriched_lr_count,total_gates,nn_gate_count,lr_gate_count,tebd_direct_gate_count,tebd_swap_gate_count,tdvp_lr_gate_count,skipped_or_exact_lr_gate_count,lr_gate_pairs,mean_abs_error_z_single,max_abs_error_z_single,mean_abs_error_x_single,max_abs_error_x_single,mean_abs_error_y_single,max_abs_error_y_single,mean_abs_error_zz_nn,max_abs_error_zz_nn,mean_abs_error_zz_lr,max_abs_error_zz_lr,fidelity_observable_consistency_warning,tdvp_padding_dim,tdvp_padding_noise,padding_applied,padded_bonds_count,max_bond_dim_before_padding,max_bond_dim_after_padding,mean_bond_dim_after_padding,peak_bond_dim_before_first_lr,peak_bond_dim_after_first_lr,sweep_scan_enabled,lattice_shape,depth_or_cycles,J_over_pi
nn_brickwork,8,2,0,small,tebd_nn,8,1,1e-10,1e-08,exact_statevector,True,,,0.027296499989461154,2,2.0,2,0,False,,0.999999999999998,1.9984014443252818e-15,0.999999999999998,0.9976660158243364,1.9984014443252818e-15,0.006626852384953863,direct,4.808777384227422e-16,1.9984014443252818e-15,7.34666421755742e-16,,ok,,nn_brickwork_n8_d2_s0_small,0,0,0,14,14,0,14,0,0,0,[],4.158999533654395e-16,9.185360805297194e-16,1.6930901125533637e-15,1.9984014443252818e-15,7.892991815694472e-17,2.3765711620882257e-16,1.3753878988101829e-16,2.671474153004283e-16,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,8,2,0,small,tdvp_all,8,1,1e-10,1e-08,exact_statevector,True,,,0.14804320002440363,2,2.0,2,0,False,,0.9999999999999925,7.549516567451064e-15,0.9999999999999925,0.9976660158243311,7.549516567451064e-15,0.006626852384948201,direct,1.750946238197683e-15,7.549516567451064e-15,3.0164800739663556e-15,,ok,,nn_brickwork_n8_d2_s0_small,0,14,0,14,14,0,0,0,14,0,[],6.024911472501948e-16,1.0894063429134349e-15,7.299716386910404e-15,7.549516567451064e-15,9.920449878242366e-17,2.38524477946811e-16,6.541146592629689e-16,1.547373340571312e-15,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,8,2,0,small,tebd_nn,16,1,1e-10,1e-08,exact_statevector,True,,,0.06365669996012002,2,2.0,2,0,False,,0.999999999999998,1.9984014443252818e-15,0.999999999999998,0.9976660158243364,1.9984014443252818e-15,0.006626852384953863,direct,4.808777384227422e-16,1.9984014443252818e-15,7.34666421755742e-16,,ok,,nn_brickwork_n8_d2_s0_small,0,0,0,14,14,0,14,0,0,0,[],4.158999533654395e-16,9.185360805297194e-16,1.6930901125533637e-15,1.9984014443252818e-15,7.892991815694472e-17,2.3765711620882257e-16,1.3753878988101829e-16,2.671474153004283e-16,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,8,2,0,small,tdvp_all,16,1,1e-10,1e-08,exact_statevector,True,,,0.11675520002609119,2,2.0,2,0,False,,0.9999999999999925,7.549516567451064e-15,0.9999999999999925,0.9976660158243311,7.549516567451064e-15,0.006626852384948201,direct,1.750946238197683e-15,7.549516567451064e-15,3.0164800739663556e-15,,ok,,nn_brickwork_n8_d2_s0_small,0,14,0,14,14,0,0,0,14,0,[],6.024911472501948e-16,1.0894063429134349e-15,7.299716386910404e-15,7.549516567451064e-15,9.920449878242366e-17,2.38524477946811e-16,6.541146592629689e-16,1.547373340571312e-15,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,8,2,0,small,tebd_nn,32,1,1e-10,1e-08,exact_statevector,True,,,0.007750599994324148,2,2.0,2,0,False,,0.999999999999998,1.9984014443252818e-15,0.999999999999998,0.9976660158243364,1.9984014443252818e-15,0.006626852384953863,direct,4.808777384227422e-16,1.9984014443252818e-15,7.34666421755742e-16,,ok,,nn_brickwork_n8_d2_s0_small,0,0,0,14,14,0,14,0,0,0,[],4.158999533654395e-16,9.185360805297194e-16,1.6930901125533637e-15,1.9984014443252818e-15,7.892991815694472e-17,2.3765711620882257e-16,1.3753878988101829e-16,2.671474153004283e-16,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,8,2,0,small,tdvp_all,32,1,1e-10,1e-08,exact_statevector,True,,,0.18095150002045557,2,2.0,2,0,False,,0.9999999999999925,7.549516567451064e-15,0.9999999999999925,0.9976660158243311,7.549516567451064e-15,0.006626852384948201,direct,1.750946238197683e-15,7.549516567451064e-15,3.0164800739663556e-15,,ok,,nn_brickwork_n8_d2_s0_small,0,14,0,14,14,0,0,0,14,0,[],6.024911472501948e-16,1.0894063429134349e-15,7.299716386910404e-15,7.549516567451064e-15,9.920449878242366e-17,2.38524477946811e-16,6.541146592629689e-16,1.547373340571312e-15,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,8,2,1,small,tebd_nn,8,1,1e-10,1e-08,exact_statevector,True,,,0.01070019998587668,2,2.0,2,0,False,,1.0,0.0,1.0,0.9903442390207532,9.679756995950584e-16,0.020954411908072124,direct,2.5019668876374063e-16,9.679756995950584e-16,3.5054308787473053e-16,,ok,,nn_brickwork_n8_d2_s1_small,0,0,0,14,14,0,14,0,0,0,[],3.3306690738754696e-16,9.679756995950584e-16,6.38378239159465e-16,8.881784197001252e-16,6.201636426617085e-17,1.1666015375944028e-16,1.5550556873934949e-16,6.83481049534862e-16,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,8,2,1,small,tdvp_all,8,1,1e-10,1e-08,exact_statevector,True,,,0.11255750001873821,2,2.0,2,0,False,,1.0,0.0,1.0,0.9903442390207519,2.1094237467877974e-15,0.020954411908073456,direct,5.366568424766286e-16,2.1094237467877974e-15,8.154789202352944e-16,,ok,,nn_brickwork_n8_d2_s1_small,0,14,0,14,14,0,0,0,14,0,[],4.2473620107119636e-16,1.5300261058115439e-15,1.7763568394002505e-15,2.1094237467877974e-15,5.2692225582795515e-17,9.194034422677078e-17,3.7680672074610504e-16,1.4849232954361469e-15,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,8,2,1,small,tebd_nn,16,1,1e-10,1e-08,exact_statevector,True,,,0.009598699980415404,2,2.0,2,0,False,,1.0,0.0,1.0,0.9903442390207532,9.679756995950584e-16,0.020954411908072124,direct,2.5019668876374063e-16,9.679756995950584e-16,3.5054308787473053e-16,,ok,,nn_brickwork_n8_d2_s1_small,0,0,0,14,14,0,14,0,0,0,[],3.3306690738754696e-16,9.679756995950584e-16,6.38378239159465e-16,8.881784197001252e-16,6.201636426617085e-17,1.1666015375944028e-16,1.5550556873934949e-16,6.83481049534862e-16,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,8,2,1,small,tdvp_all,16,1,1e-10,1e-08,exact_statevector,True,,,0.21020489995134994,2,2.0,2,0,False,,1.0,0.0,1.0,0.9903442390207519,2.1094237467877974e-15,0.020954411908073456,direct,5.366568424766286e-16,2.1094237467877974e-15,8.154789202352944e-16,,ok,,nn_brickwork_n8_d2_s1_small,0,14,0,14,14,0,0,0,14,0,[],4.2473620107119636e-16,1.5300261058115439e-15,1.7763568394002505e-15,2.1094237467877974e-15,5.2692225582795515e-17,9.194034422677078e-17,3.7680672074610504e-16,1.4849232954361469e-15,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,8,2,1,small,tebd_nn,32,1,1e-10,1e-08,exact_statevector,True,,,0.02028160000918433,2,2.0,2,0,False,,1.0,0.0,1.0,0.9903442390207532,9.679756995950584e-16,0.020954411908072124,direct,2.5019668876374063e-16,9.679756995950584e-16,3.5054308787473053e-16,,ok,,nn_brickwork_n8_d2_s1_small,0,0,0,14,14,0,14,0,0,0,[],3.3306690738754696e-16,9.679756995950584e-16,6.38378239159465e-16,8.881784197001252e-16,6.201636426617085e-17,1.1666015375944028e-16,1.5550556873934949e-16,6.83481049534862e-16,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,8,2,1,small,tdvp_all,32,1,1e-10,1e-08,exact_statevector,True,,,0.18654820002848282,2,2.0,2,0,False,,1.0,0.0,1.0,0.9903442390207519,2.1094237467877974e-15,0.020954411908073456,direct,5.366568424766286e-16,2.1094237467877974e-15,8.154789202352944e-16,,ok,,nn_brickwork_n8_d2_s1_small,0,14,0,14,14,0,0,0,14,0,[],4.2473620107119636e-16,1.5300261058115439e-15,1.7763568394002505e-15,2.1094237467877974e-15,5.2692225582795515e-17,9.194034422677078e-17,3.7680672074610504e-16,1.4849232954361469e-15,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,8,4,0,small,tebd_nn,8,1,1e-10,1e-08,exact_statevector,True,,,0.031032599974423647,8,4.857142857142857,8,0,True,,0.9999999999758102,2.4189761305137836e-11,0.9999999999758102,0.9928444735211979,9.087066187157822e-07,0.022656567413523357,direct,2.649643201775043e-08,9.087066187157822e-07,1.4022328850730022e-07,,ok,,nn_brickwork_n8_d4_s0_small,0,0,0,28,28,0,28,0,0,0,[],2.78314697677029e-16,7.771561172376096e-16,9.637294573483501e-10,1.8895816022990175e-09,3.5930459996169617e-16,4.202367620553815e-16,1.315184296344799e-07,9.087066187157822e-07,0.0,0.0,,,0.0,False,0,,,,,,False,,4,
