case_id,chi_max,tebd_error,tdvp_error,tdvp_error_over_tebd_error,tdvp_time_over_tebd_time,outcome
nn_brickwork_n8_d2_s0_small,8,4.808777384227422e-16,1.750946238197683e-15,1.750946238197683,5.423523165298163,both_good
nn_brickwork_n8_d2_s0_small,16,4.808777384227422e-16,1.750946238197683e-15,1.750946238197683,1.8341384347482133,both_good
nn_brickwork_n8_d2_s0_small,32,4.808777384227422e-16,1.750946238197683e-15,1.750946238197683,23.346773172782548,both_good
nn_brickwork_n8_d2_s1_small,8,2.5019668876374063e-16,5.366568424766286e-16,0.5366568424766286,10.519195918515933,both_good
nn_brickwork_n8_d2_s1_small,16,2.5019668876374063e-16,5.366568424766286e-16,0.5366568424766286,21.8993093210788,both_good
nn_brickwork_n8_d2_s1_small,32,2.5019668876374063e-16,5.366568424766286e-16,0.5366568424766286,9.197903515699267,both_good
nn_brickwork_n8_d4_s0_small,8,2.649643201775043e-08,4.586163132317488e-08,1.73086064163097,8.66137546462628,both_good
nn_brickwork_n8_d4_s0_small,16,2.649643201775043e-08,4.586163132317488e-08,1.73086064163097,16.79332692965438,both_good
nn_brickwork_n8_d4_s0_small,32,2.649643201775043e-08,4.586163132317488e-08,1.73086064163097,11.613173571157779,both_good
nn_brickwork_n8_d4_s1_small,8,2.097219391516653e-08,2.396209784713034e-08,1.1425651481222283,16.88220817916725,both_good
nn_brickwork_n8_d4_s1_small,16,2.097219391516653e-08,2.396209784713034e-08,1.1425651481222283,2.596028582765636,both_good
nn_brickwork_n8_d4_s1_small,32,2.097219391516653e-08,2.396209784713034e-08,1.1425651481222283,16.130291045978268,both_good
nn_brickwork_n10_d2_s0_small,8,7.409936379765282e-16,1.94001390473042e-15,1.94001390473042,11.782041127341301,both_good
nn_brickwork_n10_d2_s0_small,16,7.409936379765282e-16,1.94001390473042e-15,1.94001390473042,4.7806676506288035,both_good
nn_brickwork_n10_d2_s0_small,32,7.409936379765282e-16,1.94001390473042e-15,1.94001390473042,3.3105118711913173,both_good
nn_brickwork_n10_d2_s1_small,8,1.0513660254896084e-15,1.907202694384491e-15,1.8140235162119966,1.8052942984054956,both_good
nn_brickwork_n10_d2_s1_small,16,1.0513660254896084e-15,1.907202694384491e-15,1.8140235162119966,3.850466206417171,both_good
nn_brickwork_n10_d2_s1_small,32,1.0513660254896084e-15,1.907202694384491e-15,1.8140235162119966,4.02525923517759,both_good
nn_brickwork_n8_d4_s0_small,24,2.4749593832029803e-08,2.8296305498852297e-08,1.1433038332222043,4.847658565710331,both_good
